GENE	SAMPLE	Observed_synonymous	Estimated_synonymous
EP300	P19_0043_BTR_01	1.0	1.998495007032455
EP300	P19_0045_BDO_01	1.0	1.2226696799080363
EP300	P19_0045_BTR_01	0.0	0.6293186602790819
EP300	P19_0046_BDO_01	3.0	4.086245446861781
EP300	P19_0046_BTR_01	3.0	1.3585687994926725
EP300	P19_0047_BDO_01	4.0	2.5390390494992
EP300	P19_0047_BTR_01	0.0	1.043574784193217
EP300	P19_0048_BTR_01	7.0	5.764191373991509
EP300	P19_0050_BDO_01	5.0	5.666501137922646
EP300	P19_0050_BTR_01	3.0	6.181848392131914
EP300	P19_0051_BDO_01	1.0	3.029985390468996
EP300	P19_0051_BTR_01	2.0	3.305533552187449
EP300	P19_0052_BDO_01	0.0	0.5522320819054019
EP300	P19_0052_BTR_01	4.0	0.9345359241505328
EP300	P19_0053_BDO_01	2.0	4.348553521677697
EP300	P19_0053_BTR_01	4.0	3.689926936291653
EP300	SexF	73.0	78.5968150245507
EP300	SexM	168.0	162.73935267403215
EP300	all_samples	241.0	241.0
FGFR3	BladderlocationDome	32.0	30.43472849746297
FGFR3	BladderlocationDome_SexF	15.0	9.102558541139668
FGFR3	BladderlocationDome_SexM	17.0	21.49133990865318
FGFR3	BladderlocationTrigone	40.0	41.8360202784128
FGFR3	BladderlocationTrigone_SexF	14.0	15.658220781039589
FGFR3	BladderlocationTrigone_SexM	26.0	26.262211131426128
FGFR3	HistoryofsmokingNo	20.0	12.237306836910925
FGFR3	HistoryofsmokingUnknown	4.0	4.784079960807425
FGFR3	HistoryofsmokingYes	48.0	54.85633967870107
FGFR3	P19_0001_BDO_01	0.0	0.09300563945469
FGFR3	P19_0001_BTR_01	1.0	0.1438277549578871
FGFR3	P19_0002_BDO_01	5.0	2.133059082585688
FGFR3	P19_0002_BTR_01	4.0	1.570011913635604
FGFR3	P19_0003_BDO_01	1.0	0.4940676060778105
FGFR3	P19_0004_BDO_01	0.0	1.5713172178197294
FGFR3	P19_0004_BTR_01	1.0	2.192769480168691
FGFR3	P19_0005_BDO_01	1.0	0.5488193171300216
FGFR3	P19_0005_BTR_01	1.0	0.4526636899497811
FGFR3	P19_0006_BDO_01	0.0	0.2040136765725975
FGFR3	P19_0007_BDO_01	0.0	0.1665923889502089
FGFR3	P19_0007_BTR_01	0.0	0.417540421031187
FGFR3	P19_0008_BDO_01	1.0	1.2030602208161982
FGFR3	P19_0008_BTR_01	5.0	5.455654983975719
FGFR3	P19_0009_BDO_01	0.0	0.6539413067653301
FGFR3	P19_0009_BTR_01	2.0	4.993892294811782
FGFR3	P19_0011_BDO_01	1.0	0.5447114784949002
FGFR3	P19_0011_BTR_01	1.0	0.812033082399028
FGFR3	P19_0012_BDO_01	0.0	0.9240586644052446
FGFR3	P19_0012_BTR_01	1.0	3.0649588856075867
FGFR3	P19_0013_BDO_01	0.0	0.3823679526753198
FGFR3	P19_0013_BTR_01	0.0	0.1795044941298829
FGFR3	P19_0014_BDO_01	0.0	0.7763352108501608
FGFR3	P19_0014_BTR_01	0.0	0.777919826089015
FGFR3	P19_0015_BDO_01	1.0	0.5793810300201196
FGFR3	P19_0015_BTR_01	0.0	1.2954250773065958
FGFR3	P19_0016_BDO_01	0.0	0.6495726818431609
FGFR3	P19_0016_BTR_01	1.0	0.7568066610810255
FGFR3	P19_0018_BDO_01	0.0	0.5717528841957944
FGFR3	P19_0018_BTR_01	0.0	0.4899588607687334
FGFR3	P19_0019_BDO_01	2.0	0.6182684634637219
FGFR3	P19_0019_BTR_01	0.0	0.58022521348041
FGFR3	P19_0020_BDO_01	0.0	0.4829518046618417
FGFR3	P19_0020_BTR_01	0.0	0.4480670666706437
FGFR3	P19_0023_BDO_01	0.0	1.207356133349404
